TOOLS FOR THE TOUGH DAYS — Workplace Support App Pathways,,,,,,,,
Mood_Score_Range,Entry_Bucket,Problem_Area,Resource_Code,Resource_Name,Format,Main Category,Sub-Topic,File_Reference
1–5,I have a Crisis I need help with,I'm dealing with domestic violence or abuse,CRISIS-P05,Understanding Coercive Control and What It Looks Like,VIDEO,Crisis Support,,CRISIS-P05-Understanding Coercive Control and What It Looks Like.mp4
1–5,I have a Crisis I need help with,I'm dealing with domestic violence or abuse,CRISIS-P06,Leaving Safely — Planning and Support Options,VIDEO,Crisis Support,,CRISIS-P06-Leaving Safely — Planning and Support Options.mp4
1–5,I am worried about my Mental Health,I'm an expecting father and struggling,DAD-P01,What No One Tells Dads About How They Might Feel,VIDEO,Family & Parenting,Expecting fathers,DAD-P01-What No One Tells Dads About How They Might Feel.mp4
1–5,I am worried about my Mental Health,I've been feeling really low or depressed,DEP-P01,Understanding Low Mood vs Depression — What's the Difference,VIDEO,My Mental Health,Low mood & depression,DEP-P01-Understanding Low Mood vs Depression.mp4
1–5,I am worried about my Mental Health,I've been feeling really low or depressed,DEP-P02,When Getting Through the Day Feels Like Enough,VIDEO,My Mental Health,Low mood & depression,DEP-P02-When Getting Through the Day Feels Like Enough.mp4
1–5,I am worried about my Mental Health,I've been feeling really low or depressed,DEP-P03,Simple Ways to Support Yourself When You're Feeling Low,VIDEO,My Mental Health,Low mood & depression,DEP-P03-Simple Ways to Support Youself When You're Feeling Low.mp4
1–5,I am worried about my Mental Health,I've been feeling really low or depressed,DEP-P04,When the People Around You Don't Understand How You're Feeling,VIDEO,My Mental Health,Low mood & depression,DEP-P04-When the People Around You Don't Understand How You're Feeling.mp4
1–5,I am worried about my Mental Health,I've been feeling really low or depressed,DEP-P05,Knowing When to Ask for More Help,VIDEO,My Mental Health,Low mood & depression,DEP-P05-Knowing When to Ask for More Help.mp4
1–5,I have a Crisis I need help with,I'm dealing with domestic violence or abuse,DMV-P01,Finding Support Without Putting Yourself at Risk,VIDEO,Life Challenges,Domestic violence & abuse,DMV-P01-Finding Support Without Putting Yourself at Risk.mp4
1–5,I have a Crisis I need help with,I'm dealing with domestic violence or abuse,DMV-P02,Spotting the Signs of Domestic Abuse,VIDEO,Life Challenges,Domestic violence & abuse,DMV-P02-Spotting the Signs of Domestic Abuse.mp4
1–5,I have a Crisis I need help with,I'm dealing with domestic violence or abuse,DMV-V01,Reaching out Safely when DV is a concern,VIDEO,Life Challenges,Domestic violence & abuse,DMV-V01-Reaching out Safely when DV is a concern.mp4
1–5,I have a Crisis I need help with,I'm dealing with domestic violence or abuse,DMV-V02,When Safety at Home  Is a Concern,VIDEO,Life Challenges,Domestic violence & abuse,DMV-V02-When Safety at Home  Is a Concern.mp4
1–5,I am worried about my Mental Health,I'm really down on myself,EST-P01,Understanding Where Low Self-Esteem Comes From,VIDEO,My Mental Health,Self-esteem,EST-P01-Understanding Where Low Self-Esteem Comes From.mp4
1–5,I am worried about my Mental Health,I'm really down on myself,EST-P02,Talking to Yourself the Way You'd Talk to a Friend,VIDEO,My Mental Health,Self-esteem,EST-P02 – Talking to Yourself the Way You'd Talk to a Friend.mp4
1–5,I am worried about my Mental Health,I'm really down on myself,EST-P03,Building a Kinder Relationship With Yourself,VIDEO,My Mental Health,Self-esteem,EST-P03-Building a Kinder Relationship With Yourself.mp4
2–5,I am struggling with life outside of work,Money is stressing me out,FIN-P01,When Money's Causing Stress,VIDEO,Life Challenges,Financial stress,FIN-P01 – When Money's Causing Stress.mp4
2–5,I am struggling with life outside of work,Money is stressing me out,FIN-P02,When Financial Stress Starts Affecting Your Mental Health,VIDEO,Life Challenges,Financial stress,FIN-P02 – When Financial Stress Starts Affecting Your Mental Health.mp4
2–5,I am struggling with life outside of work,Money is stressing me out,FIN-P03,Practical Steps When Money Feels Out of Control,VIDEO,Life Challenges,Financial stress,FIN-P03 – Practical Steps When Money Feels Out of Control.mp4
2–5,I am struggling with life outside of work,Money is stressing me out,FIN-P04,Talking to Your Partner About Money Stress,VIDEO,Life Challenges,Financial stress,FIN-P04 – Talking to Your Partner About Money Stress.mp4
2–5,I am struggling with life outside of work,Money is stressing me out,FIN-P05,Managing Anxiety When Bills Are Piling Up,VIDEO,Life Challenges,Financial stress,FIN-P05 – Managing Anxiety When Bills Are Piling Up.mp4
2–5,I am struggling with life outside of work,Money is stressing me out,FIN-P06,When Financial Stress Affects Your Sleep and Your Family,VIDEO,Life Challenges,Financial stress,FIN-P06 – When Financial Stress Affects Your Sleep and Your Family.mp4
2–5,I am struggling with life outside of work,I'm stressed about the future,FUT-P01,Managing the Anxiety of Not Knowing What Comes Next,VIDEO,Life Challenges,Stress about the future,FUT-P01-Managing the Anxiety of Not Knowing.mp4
2–5,I am struggling with life outside of work,I'm stressed about the future,FUT-P02,How to Feel Grounded When the World Feels Unstable,VIDEO,Life Challenges,Stress about the future,FUT-P02-How to Feel Grounded.mp4
2–5,I am struggling with life outside of work,I'm stressed about the future,FUT-P03,Worry vs Planning — Using Your Energy in the Right Direction,VIDEO,Life Challenges,Stress about the future,FUT-P03-Worry vs Planning.mp4
1–5,I have a Crisis I need help with,I'm going through grief or a devastating loss,GRIEF-P01,When Loss Hits and You Don't Know How to Keep Going,VIDEO,Life Challenges,Grief & loss,GRIEF-P01-When loss hits and you don’t know how to keep going.mp4
1–5,I have a Crisis I need help with,I'm going through grief or a devastating loss,GRIEF-P02,The First Weeks After a Loss — What to Expect,VIDEO,Life Challenges,Grief & loss,GRIEF-P02-The First Few Weeks After a Loss.mp4
1–5,I have a Crisis I need help with,I'm going through grief or a devastating loss,GRIEF-P03,Grief That Doesn't Look Like Grief,VIDEO,Life Challenges,Grief & loss,GRIEF-P03-Grief that doesn’t look like grief.mp4
1–5,I have a Crisis I need help with,I'm going through grief or a devastating loss,GRIEF-P04,Grieving Someone Who Is Still Alive,VIDEO,Life Challenges,Grief & loss,GRIEF-P04-Grieving someone who is still alive.mp4
1–5,I have a Crisis I need help with,I'm going through grief or a devastating loss,GRIEF-P05,When Everyone Expects You to Be Over It By Now,VIDEO,Life Challenges,Grief & loss,GRIEF-P05-When Everyone Expects You to Be Over It By Now.mp4
1–5,I have a Crisis I need help with,I'm going through grief or a devastating loss,GRIEF-P06,Supporting Yourself Through Grief When Life Keeps Moving,VIDEO,Life Challenges,Grief & loss,GRIEF-P06-Supporting Yourself Through Grief When Life Keeps Moving.mp4
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",GSA-P01,Budgeting and Financial Recovery after Substance Impact,PDF,Life Challenges,Gambling & substance use,GSA-P01-Budgeting and Financial Recovery after Substance Impact.pdf
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",GSA-P02,Finding Your Feet After Gambling,VIDEO,Life Challenges,Gambling & substance use,GSA-P02 – Finding Your Feet After Gambling.mp4
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",GSA-P03,How to Block Gambling Access,PDF,Life Challenges,Gambling & substance use,GSA-P03-How to Block Gambling Access.pdf
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",GSA-P04,Putting Boundaries Around Gambling,PDF,Life Challenges,Gambling & substance use,GSA-P04-Putting Boundaries Around Gambling.pdf
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",GSA-P05,Staying on Track When Urges Hit,VIDEO,Life Challenges,Gambling & substance use,GSA-P05 – Staying on Track When Urges Hit.mp4
3–5,I'm on a personal Wellbeing Journey,I'm worried about someone else,GSA-P06,Talking to Someone About Their Drinking or Drug Use,PDF,Relationships,Supporting someone else,GSA-P06-Talking to Someone About Their Drinking or Drug Use.pdf
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",GSA-P07,When Alcohol or Drugs Start Affecting Work,PDF,Life Challenges,Gambling & substance use,GSA-P07-When Alcohol or Drugs Start Affecting Work.pdf
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",GSA-P08,When Gambling Is Impacting Your Job,PDF,Life Challenges,Gambling & substance use,GSA-P08-When Gambling Is Impacting Your Job.pdf
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",GSA-P09,When Gambling Starts to Get Out of Control,VIDEO,Life Challenges,Gambling & substance use,GSA-P09 – When Gambling Starts to Get Out of Control.mp4
3–5,I'm on a personal Wellbeing Journey,I'm worried about someone else,GSA-P10,When You’re Worried About Someone’s Gambling,PDF,Relationships,Supporting someone else,GSA-P10-When You’re Worried About Someone’s Gambling.pdf
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",GSA-P11,Why the Urge to Gamble Shows Up,PDF,Life Challenges,Gambling & substance use,GSA-P11-Why the Urge to Gamble Shows Up.pdf
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",GSA-V01,Staying on track in Gambling Recovery,VIDEO,Life Challenges,Gambling & substance use,GSA-V01-Staying on track in Gambling Recovery.mp4
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",GSA-V02,Support Around Alcohol and Other Substances,VIDEO,Life Challenges,Gambling & substance use,GSA-V02-Support Around Alcohol and Other Substances.mp4
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",GSA-V03,When Gambling Starts to Affect Work,VIDEO,Life Challenges,Gambling & substance use,GSA-V03-When Gambling Starts to Affect Work.mp4
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",GSA-V04,When Gambling Starts to Feel Harder to Manage,VIDEO,Life Challenges,Gambling & substance use,GSA-V04-When Gambling Starts to Feel Harder to Manage.mp4
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",GSA-V05,Why Gambling Conversations Matter,VIDEO,Life Challenges,Gambling & substance use,GSA-V05-Why Gambling Conversations Matter.mp4
3–5,I'm on a personal Wellbeing Journey,I don't feel like I belong,IDN-P01,When You Feel Like an Outsider in Your Own Life,VIDEO,Relationships,Identity & belonging,IDN-P01 – When You Feel Like an Outsider in Your Own Life.mp4
3–5,I'm on a personal Wellbeing Journey,I don't feel like I belong,IDN-P02,"Identity, Culture and Finding Where You Fit",VIDEO,Relationships,Identity & belonging,"IDN-P02 – Identity, Culture and Finding Where You Fit.mp4"
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P01,Creating a Respectful Workplace,PDF,Work and Career,Workplace stress & pressure,LPM-P01-Creating a Respectful Workplace.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P02,Creating a Workplace Where People Feel Heard,PDF,Work and Career,Workplace stress & pressure,LPM-P02-Creating a Workplace Where People Feel Heard.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P03,Easing Back into Work after an injury,PDF,Work and Career,Workplace stress & pressure,LPM-P03-Easing Back into Work after an injury.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P04,Handling Life’s Curveballs,PDF,Work and Career,Workplace stress & pressure,LPM-P04-Handling Life’s Curveballs.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P05,Handling Self-Doubt at Work,PDF,Work and Career,Workplace stress & pressure,LPM-P05-Handling Self-Doubt at Work.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P06,Handling Uncertain Times,PDF,Work and Career,Workplace stress & pressure,LPM-P06-Handling Uncertain Times.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P07,Helping Teams Navigate Change,PDF,Work and Career,Workplace stress & pressure,LPM-P07-Helping Teams Navigate Change.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P08,How to Check In on Someone,PDF,Work and Career,Workplace stress & pressure,LPM-P08-How to Check In on Someone.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P09,How to Lead Without Taking It All On,PDF,Work and Career,Workplace stress & pressure,LPM-P09-How to Lead Without Taking It All On.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P10,How to Talk About Performance Respectfully,PDF,Work and Career,Workplace stress & pressure,LPM-P10-How to Talk About Performance Respectfully.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P11,Leadership That Feels Safe and Steady,PDF,Work and Career,Workplace stress & pressure,LPM-P11-Leadership That Feels Safe and Steady.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P12,Leading Teams in High-Pressure Roles,PDF,Work and Career,Workplace stress & pressure,LPM-P12-Leading Teams in High-Pressure Roles.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P13,Looking After Yourself at Work,PDF,Work and Career,Workplace stress & pressure,LPM-P13-Looking After Yourself at Work.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P14,Recognising What Pushes Your Buttons,PDF,Work and Career,Workplace stress & pressure,LPM-P14-Recognising What Pushes Your Buttons.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P15,Safe and Supportive Communication,PDF,Work and Career,Workplace stress & pressure,LPM-P15-Safe and Supportive Communication.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P16,Simple Ways to Improve Your Sleep,PDF,Work and Career,Workplace stress & pressure,LPM-P16-Simple Ways to Improve Your Sleep.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P17,Sorting Out Workplace Conflict,PDF,Work and Career,Workplace stress & pressure,LPM-P17-Sorting Out Workplace Conflict.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P18,Spotting Changes in Team Mood,PDF,Work and Career,Workplace stress & pressure,LPM-P18-Spotting Changes in Team Mood.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P19,Staying Calm in Tough Conversations,PDF,Work and Career,Workplace stress & pressure,LPM-P19-Staying Calm in Tough Conversations.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P20,Stopping Situations from Boiling Over,PDF,Work and Career,Workplace stress & pressure,LPM-P20-Stopping Situations from Boiling Over.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P21,Ways to Reset When You’re Stressed,PDF,Work and Career,Workplace stress & pressure,LPM-P21-Ways to Reset When You’re Stressed.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P22,What to Do When Your Team Is Burning Out,PDF,Work and Career,Workplace stress & pressure,LPM-P22-What to Do When Your Team Is Burning Out.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P23,When You’re Always Tired,PDF,Work and Career,Workplace stress & pressure,LPM-P23-When You’re Always Tired.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P24,When You’re Running on Empty,PDF,Work and Career,Workplace stress & pressure,LPM-P24-When You’re Running on Empty.pdf
2–5,I am struggling with life outside of work,I am under pressure at work,LPM-P25,Working with Challenging People,PDF,Work and Career,Workplace stress & pressure,LPM-P25-Working with Challenging People.pdf
2–5,I am struggling with life outside of work,I'm going through a big life change,LT-P01,When Life Changes and You Don't Know Who You Are Anymore,VIDEO,Life Challenges,Big life changes,LT-P01 – When Life Changes and You Don't Know Who You Are Anymore.mp4
2–5,I am struggling with life outside of work,I'm going through a big life change,LT-P02,Navigating a Career Change Without Losing Yourself,VIDEO,Life Challenges,Big life changes,LT-P02 – Navigating a Career Change Without Losing Yourself.mp4
2–5,I am struggling with life outside of work,I'm going through a big life change,LT-P03,Starting Over — What to Expect and How to Cope,VIDEO,Life Challenges,Big life changes,LT-P03 – Starting Over — What to Expect and How to Cope.mp4
2–5,I am struggling with life outside of work,I'm going through a big life change,LT-P04,When Everything Changes at Once,VIDEO,Life Challenges,Big life changes,LT-P04-When Everything Changes at Once.mp4
2–5,I am struggling with life outside of work,I'm going through a big life change,LT-P05,Moving Through Uncertainty Without Falling Apart,VIDEO,Life Challenges,Big life changes,LT-P05-Moving Through Uncertainty.mp4
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P01,When You're Not Sure What's Wrong — But Something Is,VIDEO,My Mental Health,Feeling flat or angry,MHW-P01 – When You're Not Sure What's Wrong — But Something Is.mp4
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P02,Understanding Your Anger and What's Underneath It,VIDEO,My Mental Health,Feeling flat or angry,MHW-P02 – Understanding Your Anger and What's Underneath It.mp4
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P03,When You've Lost Your Motivation and Don't Know Why,VIDEO,My Mental Health,Feeling flat or angry,MHW-P03 – When You've Lost Your Motivation and Don't Know Why.mp4
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P04,Creating a Respectful Workplace,PDF,My Mental Health,Feeling flat or angry,MHW-P04-Creating a Respectful Workplace.pdf
1–5,I am worried about my Mental Health,"Drinking, drugs or gambling is becoming a problem",MHW-P05,Cutting Back on Alcohol or Drugs,PDF,Life Challenges,Gambling & substance use,MHW-P05-Cutting Back on Alcohol or Drugs.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P06,Finding Your Feet After a Tough Day,PDF,My Mental Health,Feeling flat or angry,MHW-P06-Finding Your Feet After a Tough Day.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P07,Finding Your Feet Again,PDF,My Mental Health,Feeling flat or angry,MHW-P07-Finding Your Feet Again.pdf
2–5,I am struggling with life outside of work,I'm going through a big life change,MHW-P08,Handling Change with Confidence,PDF,Life Challenges,Big life changes,MHW-P08-Handling Change with Confidence.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P09,Handling Conflict at Work,PDF,My Mental Health,Feeling flat or angry,MHW-P09-Handling Conflict at Work.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P10,Handling Heated Moments Calmly,PDF,My Mental Health,Feeling flat or angry,MHW-P10-Handling Heated Moments Calmly.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P11,Handling Long-Term Exhaustion,PDF,My Mental Health,Feeling flat or angry,MHW-P11-Handling Long-Term Exhaustion.pdf
1–5,I am worried about my Mental Health,I'm really down on myself,MHW-P12,Handling Self-Doubt at Work,PDF,My Mental Health,Self-esteem,MHW-P12-Handling Self-Doubt at Work.pdf
1–5,I am worried about my Mental Health,I'm struggling with anxiety or constant worry,MHW-P13,Handling Stress at Work,PDF,My Mental Health,Anxiety & worry,MHW-P13-Handling Stress at Work.pdf
3–5,I'm on a personal Wellbeing Journey,I'm worried about someone else,MHW-P14,How to Check In on Someone,PDF,Relationships,Supporting someone else,MHW-P14-How to Check In on Someone.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P15,Improving Focus When You Feel Flat,PDF,My Mental Health,Feeling flat or angry,MHW-P15-Improving Focus When You Feel Flat.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P16,Keeping Your Emotions in Check,PDF,My Mental Health,Feeling flat or angry,MHW-P16-Keeping Your Emotions in Check.pdf
2–5,I am struggling with life outside of work,I am burnt out from work,MHW-P17,Looking After Yourself at Work,PDF,Work and Career,Burnout,MHW-P17-Looking After Yourself at Work.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P18,Managing Your Energy at Work,PDF,My Mental Health,Feeling flat or angry,MHW-P18-Managing Your Energy at Work.pdf
3–5,I'm on a personal Wellbeing Journey,I want to build better daily habits,MHW-P19,Quick Ways to Reset During the Day,PDF,Health & Wellbeing,Daily habits & wellbeing,MHW-P19-Quick Ways to Reset During the Day.pdf
3–5,I'm on a personal Wellbeing Journey,I want to build better daily habits,MHW-P20,Simple Habits for Better Sleep,VIDEO,Health & Wellbeing,Sleep & rest,MHW-P20 – Simple Habits for Better Sleep.mp4
3–5,I'm on a personal Wellbeing Journey,I want to build better daily habits,MHW-P21,Simple Ways to Sleep Better,VIDEO,Health & Wellbeing,Sleep & rest,MHW-P21 – Simple Ways to Sleep Better.mp4
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P22,Spotting Burnout vs Everyday Stress,PDF,My Mental Health,Feeling flat or angry,MHW-P22-Spotting Burnout vs Everyday Stress.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P23,Spotting Changes in Workplace Mood,PDF,My Mental Health,Feeling flat or angry,MHW-P23-Spotting Changes in Workplace Mood.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P24,Staying Calm in Tough Conversations,PDF,My Mental Health,Feeling flat or angry,MHW-P24-Staying Calm in Tough Conversations.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P25,"Strong Boundaries, Respectful Conversations",PDF,My Mental Health,Feeling flat or angry,"MHW-P25-Strong Boundaries, Respectful Conversations.pdf"
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P26,Supporting ADHD in the Workplace,PDF,My Mental Health,Feeling flat or angry,MHW-P26-Supporting ADHD in the Workplace.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P27,The Cost of Caring Too Much for Too Long,PDF,My Mental Health,Feeling flat or angry,MHW-P27-The Cost of Caring Too Much for Too Long.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P28,Understanding What Pushes Your Buttons,PDF,My Mental Health,Feeling flat or angry,MHW-P28-Understanding What Pushes Your Buttons.pdf
1–5,I am worried about my Mental Health,I'm struggling with anxiety or constant worry,MHW-P29,Ways to Reset When You’re Stressed,PDF,My Mental Health,Anxiety & worry,MHW-P29-Ways to Reset When You’re Stressed.pdf
1–5,I am worried about my Mental Health,I'm struggling with anxiety or constant worry,MHW-P30,When Anxiety Takes Over,PDF,My Mental Health,Anxiety & worry,MHW-P30-When Anxiety Takes Over.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P31,When Stress Takes the Wheel,PDF,My Mental Health,Feeling flat or angry,MHW-P31-When Stress Takes the Wheel.pdf
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-P32,When You’re Running on Empty,PDF,My Mental Health,Feeling flat or angry,MHW-P32-When You’re Running on Empty.pdf
1–5,I am worried about my Mental Health,I'm struggling with anxiety or constant worry,MHW-P33,When Your Thoughts Won’t Switch Off,PDF,My Mental Health,Anxiety & worry,MHW-P33-When Your Thoughts Won’t Switch Off.pdf
1–5,I am worried about my Mental Health,I'm struggling with anxiety or constant worry,MHW-P34,Working in High-Pressure Roles,PDF,My Mental Health,Anxiety & worry,MHW-P34-Working in High-Pressure Roles.pdf
3–5,I'm on a personal Wellbeing Journey,I want to build better daily habits,MHW-V01,Finding Calm in your Day,VIDEO,Health & Wellbeing,Daily habits & wellbeing,MHW-V01-Finding Calm in your Day.mp4
3–5,I'm on a personal Wellbeing Journey,I'm worried about someone else,MHW-V02,Making Space for Check-Ins,VIDEO,Relationships,Supporting someone else,MHW-V02-Making Space for Check-Ins.mp4
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-V03,Practical Ways to stay in Control,VIDEO,My Mental Health,Feeling flat or angry,MHW-V03-Practical Ways to stay in Control.mp4
1–5,I am worried about my Mental Health,I'm struggling with anxiety or constant worry,MHW-V04,Steading Yourself When Life Gets Loud,VIDEO,My Mental Health,Anxiety & worry,MHW-V04-Steading Yourself When Life Gets Loud.mp4
2–5,I am struggling with life outside of work,My workplace relationships are difficult,MHW-V05,Tools for Managing Conflict at Work,VIDEO,Work and Career,Difficult workplace relationships,MHW-V05-Tools for Managing Conflict at Work.mp4
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-V06,When Fatigue Starts to Show,VIDEO,My Mental Health,Feeling flat or angry,MHW-V06-When Fatigue Starts to Show.mp4
1–5,I am worried about my Mental Health,I've been feeling really low or depressed,MHW-V07,When Low Mood Starts to Weigh You Down,VIDEO,My Mental Health,Low mood & depression,MHW-V07-When Low Mood Starts to Weigh You Down.mp4
1–5,I am worried about my Mental Health,"I'm feeling flat, angry, or not like myself",MHW-V08,When Work Takes Too Much,VIDEO,My Mental Health,Feeling flat or angry,MHW-V08-When Work Takes Too Much.mp4
1–5,I am worried about my Mental Health,I'm struggling with anxiety or constant worry,MHW-V09,When Worry Feels Hard to Switch Off,VIDEO,My Mental Health,Anxiety & worry,MHW-V09-When Worry Feels Hard to Switch Off .mp4
1–5,I am worried about my Mental Health,I'm struggling since having a baby,PNN-P03,– Looking After Yourself in the Early Months,VIDEO,Family & Parenting,Postnatal struggles,PNN-P03 – Looking After Yourself in the Early Months.mp4
1–5,I am worried about my Mental Health,I'm struggling since having a baby,PNN-P03,Looking After Yourself in the Early Months,PDF,Family & Parenting,Postnatal struggles,PNN-P03-Looking After Yourself in the Early Months.pdf
1–5,I am worried about my Mental Health,I'm pregnant and struggling,PRG-P01,– Managing Anxiety and Worry During Pregnancy,VIDEO,Family & Parenting,Pregnancy,PRG-P01 – Managing Anxiety and Worry During Pregnancy.mp4
1–5,I am worried about my Mental Health,I'm pregnant and struggling,PRG-P01,Managing Anxiety During Pregnancy,PDF,Family & Parenting,Pregnancy,PRG-P01-Managing Anxiety During Pregnancy.pdf
1–5,I am worried about my Mental Health,I'm pregnant and struggling,PRG-P02,When Pregnancy Feels Overwhelming,VIDEO,Family & Parenting,Pregnancy,PRG-P02 – When Pregnancy Feels Overwhelming.mp4
3–5,I'm on a personal Wellbeing Journey,I'm struggling with my teenager,PTN-P01,Why Teenagers Do What They Do,VIDEO,Family & Parenting,Parenting teenagers,PTN-P01 – Why Teenagers Do What They Do.mp4
3–5,I'm on a personal Wellbeing Journey,I'm struggling with my teenager,PTN-P02,Staying Connected When Your Teenager Pushes You Away,VIDEO,Family & Parenting,Parenting teenagers,PTN-P02 – Staying Connected When Your Teenager Pushes You Away.mp4
3–5,I'm on a personal Wellbeing Journey,I'm struggling with my teenager,PTN-P03,When You're Worried About Your Teenager's Mental Health,VIDEO,Family & Parenting,Parenting teenagers,PTN-P03 – When You're Worried About Your Teenager's Mental Health.mp4
3–5,I'm on a personal Wellbeing Journey,I'm struggling with my teenager,PTN-P04,Helping Teenagers Handle Life’s Challenges,PDF,Family & Parenting,Parenting teenagers,PTN-P04-Helping Teenagers Handle Life’s Challenges.pdf
3–5,I'm on a personal Wellbeing Journey,I'm struggling with my teenager,PTN-P05,Helping Teens Manage Anxiety,PDF,Family & Parenting,Parenting teenagers,PTN-P05-Helping Teens Manage Anxiety.pdf
3–5,I'm on a personal Wellbeing Journey,I'm struggling with my teenager,PTN-P06,Helping Teens Take Responsibility,PDF,Family & Parenting,Parenting teenagers,PTN-P06-Helping Teens Take Responsibility.pdf
3–5,I'm on a personal Wellbeing Journey,I'm struggling with my teenager,PTN-P07,Keeping Communication Open with Teens,PDF,Family & Parenting,Parenting teenagers,PTN-P07-Keeping Communication Open with Teens.pdf
3–5,I'm on a personal Wellbeing Journey,I'm struggling with my teenager,PTN-P08,Not Letting Emotions Run the Show,PDF,Family & Parenting,Parenting teenagers,PTN-P08-Not Letting Emotions Run the Show.pdf
3–5,I'm on a personal Wellbeing Journey,I'm struggling with my teenager,PTN-P09,Saying What You Mean (Without Drama),PDF,Family & Parenting,Parenting teenagers,PTN-P09-Saying What You Mean (Without Drama).pdf
3–5,I'm on a personal Wellbeing Journey,I'm struggling with my teenager,PTN-P10,Supporting a Teen Through Low Mood,PDF,Family & Parenting,Parenting teenagers,PTN-P10-Supporting a Teen Through Low Mood.pdf
3–5,I'm on a personal Wellbeing Journey,I'm struggling with my teenager,PTN-P11,Supporting Healthy Self-Esteem in Teens,PDF,Family & Parenting,Parenting teenagers,PTN-P11-Supporting Healthy Self-Esteem in Teens.pdf
