TOOLS FOR THE TOUGH DAYS — Personal Support App Pathways,,,,,,,,
Mood_Score_Range,Entry_Bucket,Problem_Area,Resource_Code,Resource_Name,Format,Main Category,Sub-Topic,File_Reference
"1–5","🧠 I am worried about my Mental Health","I've been feeling really low or depressed","DEP-P02","When Getting Through the Day Feels Like Enough","VIDEO","My Mental Health","Low mood & depression","DEP-P02-When Getting Through the Day Feels Like Enough.mp4"
"1–5","🧠 I am worried about my Mental Health","I've been feeling really low or depressed","DEP-P03","Simple Ways to Support Yourself When You're Feeling Low","VIDEO","My Mental Health","Low mood & depression","DEP-P03-Simple Ways to Support Youself When You're Feeling Low.mp4"
"1–5","🧠 I am worried about my Mental Health","I've been feeling really low or depressed","DEP-P04","When the People Around You Don't Understand How You're Feeling","VIDEO","My Mental Health","Low mood & depression","DEP-P04-When the People Around You Don't Understand How You're Feeling.mp4"
"1–5","🧠 I am worried about my Mental Health","I've been feeling really low or depressed","DEP-P05","Knowing When to Ask for More Help","VIDEO","My Mental Health","Low mood & depression","DEP-P05-Knowing When to Ask for More Help.mp4"
"1–5","🚨 I have a Crisis I need help with","I'm dealing with domestic violence or abuse","DMV-P01","Finding Support Without Putting Yourself at Risk","VIDEO","Life Challenges","Domestic violence & abuse","DMV-P01-Finding Support Without Putting Yourself at Risk.mp4"
"1–5","🚨 I have a Crisis I need help with","I'm dealing with domestic violence or abuse","DMV-P02","Spotting the Signs of Domestic Abuse","VIDEO","Life Challenges","Domestic violence & abuse","DMV-P02-Spotting the Signs of Domestic Abuse.mp4"
"","","","DMV-V01","Reaching out Safely when DV is a concern","VIDEO","","","DMV-V01-Reaching out Safely when DV is a concern.mp4"
"","","","DMV-V02","When Safety at Home  Is a Concern","VIDEO","","","DMV-V02-When Safety at Home  Is a Concern.mp4"
"1–5","🧠 I am worried about my Mental Health","I'm really down on myself","EST-P01","Understanding Where Low Self-Esteem Comes From","VIDEO","My Mental Health","Self-esteem","EST-P01-Understanding Where Low Self-Esteem Comes From.mp4"
"1–5","🧠 I am worried about my Mental Health","I'm really down on myself","EST-P02","Talking to Yourself the Way You'd Talk to a Friend","VIDEO","My Mental Health","Self-esteem","EST-P02 – Talking to Yourself the Way You'd Talk to a Friend.mp4"
"1–5","🧠 I am worried about my Mental Health","I'm really down on myself","EST-P03","Building a Kinder Relationship With Yourself","VIDEO","My Mental Health","Self-esteem","EST-P03-Building a Kinder Relationship With Yourself.mp4"
"2–5","😟 I'm struggling with life outside of work","Money is stressing me out","FIN-P01","When Money's Causing Stress","VIDEO","Life Challenges","Financial stress","FIN-P01 – When Money's Causing Stress.mp4"
"2–5","😟 I'm struggling with life outside of work","Money is stressing me out","FIN-P02","When Financial Stress Starts Affecting Your Mental Health","VIDEO","Life Challenges","Financial stress","FIN-P02 – When Financial Stress Starts Affecting Your Mental Health.mp4"
"2–5","😟 I'm struggling with life outside of work","Money is stressing me out","FIN-P03","Practical Steps When Money Feels Out of Control","VIDEO","Life Challenges","Financial stress","FIN-P03 – Practical Steps When Money Feels Out of Control.mp4"
"2–5","😟 I'm struggling with life outside of work","Money is stressing me out","FIN-P04","Talking to Your Partner About Money Stress","VIDEO","Life Challenges","Financial stress","FIN-P04 – Talking to Your Partner About Money Stress.mp4"
"2–5","😟 I'm struggling with life outside of work","Money is stressing me out","FIN-P05","Managing Anxiety When Bills Are Piling Up","VIDEO","Life Challenges","Financial stress","FIN-P05 – Managing Anxiety When Bills Are Piling Up.mp4"
"2–5","😟 I'm struggling with life outside of work","Money is stressing me out","FIN-P06","When Financial Stress Affects Your Sleep and Your Family","VIDEO","Life Challenges","Financial stress","FIN-P06 – When Financial Stress Affects Your Sleep and Your Family.mp4"
"2–5","😟 I'm struggling with life outside of work","I'm stressed about the future","FUT-P01","Managing the Anxiety of Not Knowing What Comes Next","VIDEO","Life Challenges","Stress about the future","FUT-P01-Managing the Anxiety of Not Knowing.mp4"
"2–5","😟 I'm struggling with life outside of work","I'm stressed about the future","FUT-P02","How to Feel Grounded When the World Feels Unstable","VIDEO","Life Challenges","Stress about the future","FUT-P02-How to Feel Grounded.mp4"
"2–5","😟 I'm struggling with life outside of work","I'm stressed about the future","FUT-P03","Worry vs Planning — Using Your Energy in the Right Direction","VIDEO","Life Challenges","Stress about the future","FUT-P03-Worry vs Planning.mp4"
"1–5","🚨 I have a Crisis I need help with","I'm going through grief or a devastating loss","GRIEF-P01","When Loss Hits and You Don't Know How to Keep Going","VIDEO","Life Challenges","Grief & loss","GRIEF-P01-When loss hits and you don’t know how to keep going.mp4"
"1–5","🚨 I have a Crisis I need help with","I'm going through grief or a devastating loss","GRIEF-P02","The First Weeks After a Loss — What to Expect","VIDEO","Life Challenges","Grief & loss","GRIEF-P02-The First Few Weeks After a Loss.mp4"
"1–5","🚨 I have a Crisis I need help with","I'm going through grief or a devastating loss","GRIEF-P03","Grief That Doesn't Look Like Grief","VIDEO","Life Challenges","Grief & loss","GRIEF-P03-Grief that doesn’t look like grief.mp4"
"1–5","🚨 I have a Crisis I need help with","I'm going through grief or a devastating loss","GRIEF-P04","Grieving Someone Who Is Still Alive","VIDEO","Life Challenges","Grief & loss","GRIEF-P04-Grieving someone who is still alive.mp4"
"1–5","🚨 I have a Crisis I need help with","I'm going through grief or a devastating loss","GRIEF-P05","When Everyone Expects You to Be Over It By Now","VIDEO","Life Challenges","Grief & loss","GRIEF-P05-When Everyone Expects You to Be Over It By Now.mp4"
"1–5","🚨 I have a Crisis I need help with","I'm going through grief or a devastating loss","GRIEF-P06","Supporting Yourself Through Grief When Life Keeps Moving","VIDEO","Life Challenges","Grief & loss","GRIEF-P06-Supporting Yourself Through Grief When Life Keeps Moving.mp4"
"","","","GSA-P01","Budgeting and Financial Recovery after Substance Impact","PDF","","","GSA-P01-Budgeting and Financial Recovery after Substance Impact.pdf"
"1–5","🧠 I am worried about my Mental Health","Drinking, drugs or gambling is becoming a problem","GSA-P02","Finding Your Feet After Gambling","VIDEO","Life Challenges","Gambling & substance use","GSA-P02 – Finding Your Feet After Gambling.mp4"
"","","","GSA-P03","How to Block Gambling Access","PDF","","","GSA-P03-How to Block Gambling Access.pdf"
"","","","GSA-P04","Putting Boundaries Around Gambling","PDF","","","GSA-P04-Putting Boundaries Around Gambling.pdf"
"1–5","🧠 I am worried about my Mental Health","Drinking, drugs or gambling is becoming a problem","GSA-P05","Staying on Track When Urges Hit","VIDEO","Life Challenges","Gambling & substance use","GSA-P05 – Staying on Track When Urges Hit.mp4"
"","","","GSA-P06","Talking to Someone About Their Drinking or Drug Use","PDF","","","GSA-P06-Talking to Someone About Their Drinking or Drug Use.pdf"
"","","","GSA-P07","When Alcohol or Drugs Start Affecting Work","PDF","","","GSA-P07-When Alcohol or Drugs Start Affecting Work.pdf"
"","","","GSA-P08","When Gambling Is Impacting Your Job","PDF","","","GSA-P08-When Gambling Is Impacting Your Job.pdf"
"1–5","🧠 I am worried about my Mental Health","Drinking, drugs or gambling is becoming a problem","GSA-P09","When Gambling Starts to Get Out of Control","VIDEO","Life Challenges","Gambling & substance use","GSA-P09 – When Gambling Starts to Get Out of Control.mp4"
"","","","GSA-P10","When You’re Worried About Someone’s Gambling","PDF","","","GSA-P10-When You’re Worried About Someone’s Gambling.pdf"
"","","","GSA-P11","Why the Urge to Gamble Shows Up","PDF","","","GSA-P11-Why the Urge to Gamble Shows Up.pdf"
"","","","GSA-V01","Staying on track in Gambling Recovery","VIDEO","","","GSA-V01-Staying on track in Gambling Recovery.mp4"
"","","","GSA-V02","Support Around Alcohol and Other Substances","VIDEO","","","GSA-V02-Support Around Alcohol and Other Substances.mp4"
"","","","GSA-V03","When Gambling Starts to Affect Work","VIDEO","","","GSA-V03-When Gambling Starts to Affect Work.mp4"
"","","","GSA-V04","When Gambling Starts to Feel Harder to Manage","VIDEO","","","GSA-V04-When Gambling Starts to Feel Harder to Manage.mp4"
"","","","GSA-V05","Why Gambling Conversations Matter","VIDEO","","","GSA-V05-Why Gambling Conversations Matter.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","I don't feel like I belong","IDN-P01","When You Feel Like an Outsider in Your Own Life","VIDEO","Relationships","Identity & belonging","IDN-P01 – When You Feel Like an Outsider in Your Own Life.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","I don't feel like I belong","IDN-P02","Identity, Culture and Finding Where You Fit","VIDEO","Relationships","Identity & belonging","IDN-P02 – Identity, Culture and Finding Where You Fit.mp4"
"","","","LPM-P01","Creating a Respectful Workplace","PDF","","","LPM-P01-Creating a Respectful Workplace.pdf"
"","","","LPM-P02","Creating a Workplace Where People Feel Heard","PDF","","","LPM-P02-Creating a Workplace Where People Feel Heard.pdf"
"","","","LPM-P03","Easing Back into Work after an injury","PDF","","","LPM-P03-Easing Back into Work after an injury.pdf"
"","","","LPM-P04","Handling Life’s Curveballs","PDF","","","LPM-P04-Handling Life’s Curveballs.pdf"
"","","","LPM-P05","Handling Self-Doubt at Work","PDF","","","LPM-P05-Handling Self-Doubt at Work.pdf"
"","","","LPM-P06","Handling Uncertain Times","PDF","","","LPM-P06-Handling Uncertain Times.pdf"
"","","","LPM-P07","Helping Teams Navigate Change","PDF","","","LPM-P07-Helping Teams Navigate Change.pdf"
"","","","LPM-P08","How to Check In on Someone","PDF","","","LPM-P08-How to Check In on Someone.pdf"
"","","","LPM-P09","How to Lead Without Taking It All On","PDF","","","LPM-P09-How to Lead Without Taking It All On.pdf"
"","","","LPM-P10","How to Talk About Performance Respectfully","PDF","","","LPM-P10-How to Talk About Performance Respectfully.pdf"
"","","","LPM-P11","Leadership That Feels Safe and Steady","PDF","","","LPM-P11-Leadership That Feels Safe and Steady.pdf"
"","","","LPM-P12","Leading Teams in High-Pressure Roles","PDF","","","LPM-P12-Leading Teams in High-Pressure Roles.pdf"
"","","","LPM-P13","Looking After Yourself at Work","PDF","","","LPM-P13-Looking After Yourself at Work.pdf"
"","","","LPM-P14","Recognising What Pushes Your Buttons","PDF","","","LPM-P14-Recognising What Pushes Your Buttons.pdf"
"","","","LPM-P15","Safe and Supportive Communication","PDF","","","LPM-P15-Safe and Supportive Communication.pdf"
"","","","LPM-P16","Simple Ways to Improve Your Sleep","PDF","","","LPM-P16-Simple Ways to Improve Your Sleep.pdf"
"","","","LPM-P17","Sorting Out Workplace Conflict","PDF","","","LPM-P17-Sorting Out Workplace Conflict.pdf"
"","","","LPM-P18","Spotting Changes in Team Mood","PDF","","","LPM-P18-Spotting Changes in Team Mood.pdf"
"","","","LPM-P19","Staying Calm in Tough Conversations","PDF","","","LPM-P19-Staying Calm in Tough Conversations.pdf"
"","","","LPM-P20","Stopping Situations from Boiling Over","PDF","","","LPM-P20-Stopping Situations from Boiling Over.pdf"
"","","","LPM-P21","Ways to Reset When You’re Stressed","PDF","","","LPM-P21-Ways to Reset When You’re Stressed.pdf"
"","","","LPM-P22","What to Do When Your Team Is Burning Out","PDF","","","LPM-P22-What to Do When Your Team Is Burning Out.pdf"
"","","","LPM-P23","When You’re Always Tired","PDF","","","LPM-P23-When You’re Always Tired.pdf"
"","","","LPM-P24","When You’re Running on Empty","PDF","","","LPM-P24-When You’re Running on Empty.pdf"
"","","","LPM-P25","Working with Challenging People","PDF","","","LPM-P25-Working with Challenging People.pdf"
"2–5","😟 I'm struggling with life outside of work","I'm going through a big life change","LT-P01","When Life Changes and You Don't Know Who You Are Anymore","VIDEO","Life Challenges","Big life changes","LT-P01 – When Life Changes and You Don't Know Who You Are Anymore.mp4"
"2–5","😟 I'm struggling with life outside of work","I'm going through a big life change","LT-P02","Navigating a Career Change Without Losing Yourself","VIDEO","Life Challenges","Big life changes","LT-P02 – Navigating a Career Change Without Losing Yourself.mp4"
"2–5","😟 I'm struggling with life outside of work","I'm going through a big life change","LT-P03","Starting Over — What to Expect and How to Cope","VIDEO","Life Challenges","Big life changes","LT-P03 – Starting Over — What to Expect and How to Cope.mp4"
"2–5","😟 I'm struggling with life outside of work","I'm going through a big life change","LT-P04","When Everything Changes at Once","VIDEO","Life Challenges","Big life changes","LT-P04-When Everything Changes at Once.mp4"
"2–5","😟 I'm struggling with life outside of work","I'm going through a big life change","LT-P05","Moving Through Uncertainty Without Falling Apart","VIDEO","Life Challenges","Big life changes","LT-P05-Moving Through Uncertainty.mp4"
"1–5","🧠 I am worried about my Mental Health","I'm feeling flat, angry, or not like myself","MHW-P01","When You're Not Sure What's Wrong — But Something Is","VIDEO","My Mental Health","Feeling flat or angry","MHW-P01 – When You're Not Sure What's Wrong — But Something Is.mp4"
"1–5","🧠 I am worried about my Mental Health","I'm feeling flat, angry, or not like myself","MHW-P02","Understanding Your Anger and What's Underneath It","VIDEO","My Mental Health","Feeling flat or angry","MHW-P02 – Understanding Your Anger and What's Underneath It.mp4"
"1–5","🧠 I am worried about my Mental Health","I'm feeling flat, angry, or not like myself","MHW-P03","When You've Lost Your Motivation and Don't Know Why","VIDEO","My Mental Health","Feeling flat or angry","MHW-P03 – When You've Lost Your Motivation and Don't Know Why.mp4"
"","","","MHW-P04","Creating a Respectful Workplace","PDF","","","MHW-P04-Creating a Respectful Workplace.pdf"
"","","","MHW-P05","Cutting Back on Alcohol or Drugs","PDF","","","MHW-P05-Cutting Back on Alcohol or Drugs.pdf"
"","","","MHW-P06","Finding Your Feet After a Tough Day","PDF","","","MHW-P06-Finding Your Feet After a Tough Day.pdf"
"","","","MHW-P07","Finding Your Feet Again","PDF","","","MHW-P07-Finding Your Feet Again.pdf"
"","","","MHW-P08","Handling Change with Confidence","PDF","","","MHW-P08-Handling Change with Confidence.pdf"
"","","","MHW-P09","Handling Conflict at Work","PDF","","","MHW-P09-Handling Conflict at Work.pdf"
"","","","MHW-P10","Handling Heated Moments Calmly","PDF","","","MHW-P10-Handling Heated Moments Calmly.pdf"
"","","","MHW-P11","Handling Long-Term Exhaustion","PDF","","","MHW-P11-Handling Long-Term Exhaustion.pdf"
"","","","MHW-P12","Handling Self-Doubt at Work","PDF","","","MHW-P12-Handling Self-Doubt at Work.pdf"
"","","","MHW-P13","Handling Stress at Work","PDF","","","MHW-P13-Handling Stress at Work.pdf"
"","","","MHW-P14","How to Check In on Someone","PDF","","","MHW-P14-How to Check In on Someone.pdf"
"","","","MHW-P15","Improving Focus When You Feel Flat","PDF","","","MHW-P15-Improving Focus When You Feel Flat.pdf"
"","","","MHW-P16","Keeping Your Emotions in Check","PDF","","","MHW-P16-Keeping Your Emotions in Check.pdf"
"","","","MHW-P17","Looking After Yourself at Work","PDF","","","MHW-P17-Looking After Yourself at Work.pdf"
"","","","MHW-P18","Managing Your Energy at Work","PDF","","","MHW-P18-Managing Your Energy at Work.pdf"
"","","","MHW-P19","Quick Ways to Reset During the Day","PDF","","","MHW-P19-Quick Ways to Reset During the Day.pdf"
"3–5","🌱 I'm on a personal Wellbeing Journey","I want to build better daily habits","MHW-P20","Simple Habits for Better Sleep","VIDEO","Health & Wellbeing","Sleep & rest","MHW-P20 – Simple Habits for Better Sleep.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","I want to build better daily habits","MHW-P21","Simple Ways to Sleep Better","VIDEO","Health & Wellbeing","Sleep & rest","MHW-P21 – Simple Ways to Sleep Better.mp4"
"","","","MHW-P22","Spotting Burnout vs Everyday Stress","PDF","","","MHW-P22-Spotting Burnout vs Everyday Stress.pdf"
"","","","MHW-P23","Spotting Changes in Workplace Mood","PDF","","","MHW-P23-Spotting Changes in Workplace Mood.pdf"
"","","","MHW-P24","Staying Calm in Tough Conversations","PDF","","","MHW-P24-Staying Calm in Tough Conversations.pdf"
"","","","MHW-P25","Strong Boundaries, Respectful Conversations","PDF","","","MHW-P25-Strong Boundaries, Respectful Conversations.pdf"
"","","","MHW-P26","Supporting ADHD in the Workplace","PDF","","","MHW-P26-Supporting ADHD in the Workplace.pdf"
"","","","MHW-P27","The Cost of Caring Too Much for Too Long","PDF","","","MHW-P27-The Cost of Caring Too Much for Too Long.pdf"
"","","","MHW-P28","Understanding What Pushes Your Buttons","PDF","","","MHW-P28-Understanding What Pushes Your Buttons.pdf"
"","","","MHW-P29","Ways to Reset When You’re Stressed","PDF","","","MHW-P29-Ways to Reset When You’re Stressed.pdf"
"","","","MHW-P30","When Anxiety Takes Over","PDF","","","MHW-P30-When Anxiety Takes Over.pdf"
"","","","MHW-P31","When Stress Takes the Wheel","PDF","","","MHW-P31-When Stress Takes the Wheel.pdf"
"","","","MHW-P32","When You’re Running on Empty","PDF","","","MHW-P32-When You’re Running on Empty.pdf"
"","","","MHW-P33","When Your Thoughts Won’t Switch Off","PDF","","","MHW-P33-When Your Thoughts Won’t Switch Off.pdf"
"","","","MHW-P34","Working in High-Pressure Roles","PDF","","","MHW-P34-Working in High-Pressure Roles.pdf"
"","","","MHW-V01","Finding Calm in your Day","VIDEO","","","MHW-V01-Finding Calm in your Day.mp4"
"","","","MHW-V02","Making Space for Check-Ins","VIDEO","","","MHW-V02-Making Space for Check-Ins.mp4"
"","","","MHW-V03","Practical Ways to stay in Control","VIDEO","","","MHW-V03-Practical Ways to stay in Control.mp4"
"","","","MHW-V04","Steading Yourself When Life Gets Loud","VIDEO","","","MHW-V04-Steading Yourself When Life Gets Loud.mp4"
"","","","MHW-V05","Tools for Managing Conflict at Work","VIDEO","","","MHW-V05-Tools for Managing Conflict at Work.mp4"
"","","","MHW-V06","When Fatigue Starts to Show","VIDEO","","","MHW-V06-When Fatigue Starts to Show.mp4"
"","","","MHW-V07","When Low Mood Starts to Weigh You Down","VIDEO","","","MHW-V07-When Low Mood Starts to Weigh You Down.mp4"
"","","","MHW-V08","When Work Takes Too Much","VIDEO","","","MHW-V08-When Work Takes Too Much.mp4"
"","","","MHW-V09","When Worry Feels Hard to Switch Off","VIDEO","","","MHW-V09-When Worry Feels Hard to Switch Off .mp4"
"","","","PNN-P03","– Looking After Yourself in the Early Months","VIDEO","","","PNN-P03 – Looking After Yourself in the Early Months.mp4"
"","","","PNN-P03","Looking After Yourself in the Early Months","PDF","","","PNN-P03-Looking After Yourself in the Early Months.pdf"
"","","","PRG-P01","– Managing Anxiety and Worry During Pregnancy","VIDEO","","","PRG-P01 – Managing Anxiety and Worry During Pregnancy.mp4"
"","","","PRG-P01","Managing Anxiety During Pregnancy","PDF","","","PRG-P01-Managing Anxiety During Pregnancy.pdf"
"1–5","🧠 I am worried about my Mental Health","I'm pregnant and struggling","PRG-P02","When Pregnancy Feels Overwhelming","VIDEO","Family & Parenting","Pregnancy","PRG-P02 – When Pregnancy Feels Overwhelming.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","I'm struggling with my teenager","PTN-P01","Why Teenagers Do What They Do","VIDEO","Family & Parenting","Parenting teenagers","PTN-P01 – Why Teenagers Do What They Do.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","I'm struggling with my teenager","PTN-P02","Staying Connected When Your Teenager Pushes You Away","VIDEO","Family & Parenting","Parenting teenagers","PTN-P02 – Staying Connected When Your Teenager Pushes You Away.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","I'm struggling with my teenager","PTN-P03","When You're Worried About Your Teenager's Mental Health","VIDEO","Family & Parenting","Parenting teenagers","PTN-P03 – When You're Worried About Your Teenager's Mental Health.mp4"
"","","","PTN-P04","Helping Teenagers Handle Life’s Challenges","PDF","","","PTN-P04-Helping Teenagers Handle Life’s Challenges.pdf"
"","","","PTN-P05","Helping Teens Manage Anxiety","PDF","","","PTN-P05-Helping Teens Manage Anxiety.pdf"
"","","","PTN-P06","Helping Teens Take Responsibility","PDF","","","PTN-P06-Helping Teens Take Responsibility.pdf"
"","","","PTN-P07","Keeping Communication Open with Teens","PDF","","","PTN-P07-Keeping Communication Open with Teens.pdf"
"","","","PTN-P08","Not Letting Emotions Run the Show","PDF","","","PTN-P08-Not Letting Emotions Run the Show.pdf"
"","","","PTN-P09","Saying What You Mean (Without Drama)","PDF","","","PTN-P09-Saying What You Mean (Without Drama).pdf"
"","","","PTN-P10","Supporting a Teen Through Low Mood","PDF","","","PTN-P10-Supporting a Teen Through Low Mood.pdf"
"","","","PTN-P11","Supporting Healthy Self-Esteem in Teens","PDF","","","PTN-P11-Supporting Healthy Self-Esteem in Teens.pdf"
"","","","PTN-P12","Understanding Risk-Taking in Teens","PDF","","","PTN-P12-Understanding Risk-Taking in Teens.pdf"
"","","","PTN-P13","Understanding Teen Emotions and Decisions","PDF","","","PTN-P13-Understanding Teen Emotions and Decisions.pdf"
"","","","PTN-P14","When You Just Can’t Get Started on Schoolwork","PDF","","","PTN-P14-When You Just Can’t Get Started on Schoolwork.pdf"
"","","","PTN-P15","Working Through Conflict Between Teens and Parents","PDF","","","PTN-P15-Working Through Conflict Between Teens and Parents.pdf"
"","","","PTN-V01","Helping Teens Build Resilience","VIDEO","","","PTN-V01-Helping Teens Build Resilience.mp4"
"","","","PTN-V02","Helping Teens Manage Stress and Anxiety","VIDEO","","","PTN-V02-Helping Teens Manage Stress and Anxiety.mp4"
"","","","PTN-V03","Helping Teens Navigate Friendships and Peer Pressure","VIDEO","","","PTN-V03-Helping Teens Navigate Friendships and Peer Pressure.mp4"
"","","","PTN-V04","Helping Teens Stay Safe and Well Online","VIDEO","","","PTN-V04-Helping Teens Stay Safe and Well Online.mp4"
"","","","PTN-V05","Navigating Conflict With Teens","VIDEO","","","PTN-V05-Navigating Conflict With Teens.mp4"
"","","","PTN-V06","Recognising and Supporting Depression in Teens","VIDEO","","","PTN-V06-Recognising and Supporting Depression in Teens.mp4"
"","","","PTN-V07","Supporting Healthy Sleep and Routines for Teens","VIDEO","","","PTN-V07-Supporting Healthy Sleep and Routines for Teens.mp4"
"","","","PTN-V08","Supporting Teen Identity and Self-Esteem","VIDEO","","","PTN-V08-Supporting Teen Identity and Self-Esteem.mp4"
"","","","PTN-V09","Supporting Teen Motivation — Without Pressure or Conflict","VIDEO","","","PTN-V09-Supporting Teen Motivation — Without Pressure or Conflict.mp4"
"","","","PTN-V10","Understanding Teen Risk-Taking","VIDEO","","","PTN-V10-Understanding Teen Risk-Taking.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","Things are tough with the kids","PYC-P01","Caring for Yourself While Raising Kids","VIDEO","Family & Parenting","Parenting young children","PYC-P01 – Caring for Yourself While Raising Kids.mp4"
"","","","PYC-P02","Clear, Consistent and Kind Parenting","PDF","","","PYC-P02-Clear, Consistent and Kind Parenting.pdf"
"","","","PYC-P03","Creating Healthy Family Rules","PDF","","","PYC-P03-Creating Healthy Family Rules.pdf"
"","","","PYC-P04","Helping a Child Through Sensory Overload","PDF","","","PYC-P04-Helping a Child Through Sensory Overload.pdf"
"3–5","🌱 I'm on a personal Wellbeing Journey","Things are tough with the kids","PYC-P05","Helping Children Manage Big Emotions","VIDEO","Family & Parenting","Parenting young children","PYC-P05 – Helping Children Manage Big Emotions.mp4"
"","","","PYC-P06","Helping Children Manage School Stress","PDF","","","PYC-P06-Helping Children Manage School Stress.pdf"
"","","","PYC-P07","Helping Children Stay Safe","PDF","","","PYC-P07-Helping Children Stay Safe.pdf"
"","","","PYC-P08","Helping Kids Cope with Loss","PDF","","","PYC-P08-Helping Kids Cope with Loss.pdf"
"","","","PYC-P09","Helping Siblings Work Through Conflict","PDF","","","PYC-P09-Helping Siblings Work Through Conflict.pdf"
"3–5","🌱 I'm on a personal Wellbeing Journey","Things are tough with the kids","PYC-P10","Keeping Calm When Behaviour Escalates","VIDEO","Family & Parenting","Parenting young children","PYC-P10 – Keeping Calm When Behaviour Escalates.mp4"
"","","","PYC-P11","Making Mornings and Nights Easier","PDF","","","PYC-P11-Making Mornings and Nights Easier.pdf"
"","","","PYC-P12","Protecting Kids in a Digital World","PDF","","","PYC-P12-Protecting Kids in a Digital World.pdf"
"","","","PYC-P13","Protecting Your Energy as a Parent","PDF","","","PYC-P13-Protecting Your Energy as a Parent.pdf"
"","","","PYC-P14","Raising Independent, Capable Kids","PDF","","","PYC-P14-Raising Independent, Capable Kids.pdf"
"","","","PYC-P15","Reducing Homework Battles","PDF","","","PYC-P15-Reducing Homework Battles.pdf"
"","","","PYC-P16","Responding to Difficult Behaviour Calmly","PDF","","","PYC-P16-Responding to Difficult Behaviour Calmly.pdf"
"3–5","🌱 I'm on a personal Wellbeing Journey","Things are tough with the kids","PYC-P17","Setting Boundaries Without Guilt","VIDEO","Family & Parenting","Parenting young children","PYC-P17 – Setting Boundaries Without Guilt.mp4"
"","","","PYC-P18","Simple Ways to Stay Connected to Your Child","PDF","","","PYC-P18-Simple Ways to Stay Connected to Your Child.pdf"
"","","","PYC-P19","Staying Calm as a Parent","PDF","","","PYC-P19-Staying Calm as a Parent.pdf"
"","","","PYC-P20","Supporting Children Through Big Emotions","PDF","","","PYC-P20-Supporting Children Through Big Emotions.pdf"
"","","","PYC-P21","Supporting Children Through Change","PDF","","","PYC-P21-Supporting Children Through Change.pdf"
"","","","PYC-P22","Supporting Your Child with ADHD","PDF","","","PYC-P22-Supporting Your Child with ADHD.pdf"
"","","","PYC-P23","Talking to Kids About Personal Boundaries","PDF","","","PYC-P23-Talking to Kids About Personal Boundaries.pdf"
"","","","PYC-P24","Understanding and Supporting Autism at Home","PDF","","","PYC-P24-Understanding and Supporting Autism at Home.pdf"
"","","","PYC-P25","When to Worry About Your Child’s Behaviour","PDF","","","PYC-P25-When to Worry About Your Child’s Behaviour.pdf"
"3–5","🌱 I'm on a personal Wellbeing Journey","Things are tough with the kids","PYC-P26","When You Feel Like You're Not Doing Enough","VIDEO","Family & Parenting","Parenting young children","PYC-P26 – When You Feel Like You're Not Doing Enough.mp4"
"","","","PYC-P27","Why Kids Have Meltdowns","PDF","","","PYC-P27-Why Kids Have Meltdowns.pdf"
"","","","PYC-P28","Working Parent Balance Managing Workload and Family Demands Emotional Balance","PDF","","","PYC-P28-Working_Parent_Balance_Managing_Workload_and_Family_Demands_Emotional_Balance.pdf"
"","","","PYC-V01","Boundaries That Help Children Feel Safe","VIDEO","","","PYC-V01-Boundaries That Help Children Feel Safe.mp4"
"","","","PYC-V02","Finding Balance as a Working Parent","VIDEO","","","PYC-V02-Finding Balance as a Working Parent.mp4"
"","","","PYC-V03","Helping Children Calm When Feelings Get Too Big","VIDEO","","","PYC-V03-Helping Children Calm When Feelings Get Too Big.mp4"
"","","","PYC-V04","Helping Children Stay Safe","VIDEO","","","PYC-V04-Helping Children Stay Safe.mp4"
"","","","PYC-V05","Helping Siblings Navigate Conflict Safely","VIDEO","","","PYC-V05-Helping Siblings Navigate Conflict Safely.mp4"
"","","","PYC-V06","Homework Strategies that work","VIDEO","","","PYC-V06-Homework Strategies that work.mp4"
"","","","PYC-V07","Teaching Children How to Handle Big Feelings","VIDEO","","","PYC-V07-Teaching Children How to Handle Big Feelings.mp4"
"","","","PYC-V08","Understanding Big Behaviours in Kids","VIDEO","","","PYC-V08-Understanding Big Behaviours in Kids.mp4"
"","","","PYC-V09","When challenging Behaviour is a Message","VIDEO","","","PYC-V09-When challenging Behaviour is a Message.mp4"
"","","","PYC-V10","When Parenting Feels Exhausting All the Time","VIDEO","","","PYC-V10-When Parenting Feels Exhausting All the Time.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","My relationship is under pressure","REL-P01","When Communication in Your Relationship Keeps Breaking Down","VIDEO","Relationships","Relationships","REL-P01 – When Communication in Your Relationship Keeps Breaking Down.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","My relationship is under pressure","REL-P02","Rebuilding Trust After Something Goes Wrong","VIDEO","Relationships","Relationships","REL-P02 – Rebuilding Trust After Something Goes Wrong.mp4"
"3–5","🌱 I'm on a personal Wellbeing Journey","My relationship is under pressure","REL-P03","How to Have the Conversations You Keep Avoiding","VIDEO","Relationships","Relationships","REL-P03 – How to Have the Conversations You Keep Avoiding.mp4"
